epoch,loss,val_loss
0,1.498160481452942,1.28310427069664
1,1.4400106072425842,1.2070947587490082
2,1.3765891790390015,1.138972282409668
3,1.3262896537780762,1.0764765739440918
4,1.2786664962768555,1.017114281654358
5,1.234032392501831,0.9630521833896637
6,1.1852377653121948,0.915205717086792
7,1.1471529006958008,0.8783349394798279
8,1.1175527572631836,0.8511978983879089
9,1.0821229815483093,0.8265713155269623
10,1.0540379881858826,0.8037237524986267
11,1.028327763080597,0.7821458578109741
12,0.9991030991077423,0.7594771385192871
13,0.9818094968795776,0.7346866130828857
14,0.9492259323596954,0.7065920531749725
15,0.9236651360988617,0.6778422445058823
16,0.8994567096233368,0.6487977504730225
17,0.8672891855239868,0.6213860213756561
18,0.838319331407547,0.5959694683551788
19,0.8143996894359589,0.5731178224086761
20,0.7893153429031372,0.5512587428092957
21,0.7701375484466553,0.5301433503627777
22,0.7454503178596497,0.5100114941596985
23,0.7284179329872131,0.4902486801147461
24,0.707679033279419,0.47299912571907043
25,0.6865440309047699,0.45744767785072327
26,0.6660144329071045,0.4430024325847626
27,0.6484170258045197,0.4289223998785019
28,0.6324423551559448,0.414633184671402
29,0.6179962754249573,0.4013218879699707
30,0.6068995296955109,0.3894834667444229
31,0.5832448303699493,0.37749770283699036
32,0.5777663588523865,0.36683322489261627
33,0.5596342980861664,0.3570755273103714
34,0.5506913661956787,0.3480530381202698
35,0.5367903709411621,0.3400627374649048
36,0.5192779004573822,0.3311169296503067
37,0.5184031128883362,0.3240656703710556
38,0.5036097168922424,0.3171149045228958
39,0.5024327635765076,0.3097459673881531
40,0.4901164025068283,0.3031036704778671
41,0.48305900394916534,0.29677511751651764
42,0.4755115509033203,0.2907741814851761
43,0.4699825048446655,0.28624410182237625
44,0.45842134952545166,0.2820414900779724
45,0.4553683251142502,0.27898265421390533
46,0.4480445086956024,0.2778579741716385
47,0.4445997476577759,0.27629876881837845
48,0.4418873190879822,0.2746828943490982
49,0.44264204800128937,0.2736622989177704
50,0.4293458163738251,0.2720898389816284
51,0.42929738759994507,0.27066469192504883
52,0.4209793359041214,0.26779329031705856
53,0.4205397665500641,0.2651621848344803
54,0.41091617941856384,0.2636875957250595
55,0.40696434676647186,0.2621372565627098
56,0.40907222032546997,0.2584962099790573
57,0.40262745320796967,0.25584349781274796
58,0.39994460344314575,0.25410110503435135
59,0.4061071574687958,0.25276973843574524
60,0.40007326006889343,0.2522241771221161
61,0.3903522789478302,0.2515881732106209
62,0.3901972770690918,0.25147195905447006
63,0.38671717047691345,0.2521244287490845
64,0.38490456342697144,0.25096404552459717
65,0.38666626811027527,0.24953438341617584
66,0.37956903874874115,0.24889309704303741
67,0.37224388122558594,0.2483566403388977
68,0.3721158653497696,0.24662438035011292
69,0.3691142201423645,0.24451370537281036
70,0.36705848574638367,0.24271415919065475
71,0.37105052173137665,0.2404973804950714
72,0.36710962653160095,0.23931211233139038
73,0.3647571802139282,0.23932762444019318
74,0.3575756698846817,0.23987359553575516
75,0.3576143682003021,0.23977622389793396
76,0.357134073972702,0.23915721476078033
77,0.3489709347486496,0.2382691651582718
78,0.35837891697883606,0.2364751696586609
79,0.3447622209787369,0.23451600968837738
80,0.343068927526474,0.23296848684549332
81,0.34356850385665894,0.23189470171928406
82,0.34179776906967163,0.23083624243736267
83,0.33854901790618896,0.2308199480175972
84,0.33844514191150665,0.2307818979024887
85,0.33420395851135254,0.22986169904470444
86,0.3359469473361969,0.22801846265792847
87,0.3306470364332199,0.22647430002689362
88,0.3321062922477722,0.22564852982759476
89,0.3271598070859909,0.224388986825943
90,0.32959239184856415,0.22319217026233673
91,0.3261600583791733,0.2228199541568756
92,0.3295300006866455,0.22343215346336365
93,0.3240514397621155,0.2243654429912567
94,0.3254566490650177,0.22437819838523865
